City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Adelaide,AU,-34.93,138.6,59.0,82,75,11.41,light intensity drizzle
306,Bardiyah,LY,31.76,25.09,70.2,68,3,17.43,clear sky
307,Concarneau,FR,47.88,-3.92,60.8,77,90,11.41,overcast clouds
308,Mar Del Plata,AR,-38.0,-57.56,62.6,39,0,5.82,clear sky
309,Mendi,PG,-6.18,143.65,53.17,99,93,2.59,overcast clouds
310,Villa Bruzual,VE,9.33,-69.12,87.26,64,99,3.33,overcast clouds
311,Haines Junction,CA,60.75,-137.51,21.24,93,100,4.09,light snow
312,Niort,FR,46.33,-0.33,63.0,74,0,1.99,clear sky
313,Goedereede,NL,51.82,3.98,60.01,88,78,4.0,broken clouds
314,North Platte,US,41.12,-100.77,32.0,61,1,4.7,clear sky
315,Tasiilaq,GL,65.61,-37.64,32.0,98,75,5.82,light shower snow
316,Kalawit,PH,8.07,122.52,80.26,82,77,3.71,broken clouds
317,Terrak,NO,65.09,12.37,44.6,56,0,17.22,clear sky
318,Unguia,CO,8.04,-77.09,85.15,65,3,6.44,light rain
319,Ugoofaaru,MV,5.67,73.0,83.08,73,68,9.26,broken clouds
320,Kudahuvadhoo,MV,2.67,72.89,82.94,75,83,10.6,light rain
321,Dalvik,IS,65.97,-18.53,42.8,75,90,4.7,drizzle
322,Sakaraha,MG,-22.9,44.53,86.68,32,48,3.56,scattered clouds
323,Forst,DE,51.73,14.63,55.0,96,100,5.99,overcast clouds
324,Erenhot,CN,43.65,111.98,49.26,43,100,25.68,overcast clouds
325,Tiksi,RU,71.69,128.87,11.91,96,100,6.24,overcast clouds
326,Butte,US,39.65,-121.57,54.0,65,1,4.29,clear sky
327,Auburn,US,47.31,-122.23,54.0,87,75,23.04,broken clouds
328,Talaya,RU,61.38,152.75,13.05,89,1,2.91,clear sky
329,Kautokeino,NO,69.01,23.04,18.57,92,0,2.68,clear sky
330,Rudnogorsk,RU,57.26,103.75,21.4,88,100,2.73,overcast clouds
331,Noumea,NC,-22.28,166.46,75.2,69,0,5.82,clear sky
332,Manbij,SY,36.53,37.95,77.0,41,75,2.24,broken clouds
333,Derzhavinsk,KZ,51.1,66.32,34.02,86,60,2.91,broken clouds
334,Bukama,CD,-9.2,25.85,89.31,44,10,3.71,clear sky
335,Smolenka,RU,52.14,113.5,32.0,94,100,6.71,overcast clouds
336,Saint-Louis,SN,16.33,-15.0,102.16,9,80,8.52,broken clouds
